module,msgid,msgstr,occurrences
intn_account_pagopar,"<span class=""badge rounded-pill text-bg-warning ms-1"">
                    <i class=""fa fa-fw fa-clock-o""/>
                    <span class=""d-none d-md-inline""> A verificar</span>
                </span>",,1
intn_account_pagopar,"<span class=""badge text-bg-info ms-2 align-middle"" invisible=""not intn_paid_with_aqui_pago"">Paid with Aquipago</span>",,1
intn_account_pagopar,<strong>Comprobante de transferencia</strong>,,1
intn_account_pagopar,A verificar,,1
intn_account_pagopar,Adjunte su comprobante,,1
intn_account_pagopar,Aprobado,,1
intn_account_pagopar,Credit Cards - PagoPar,,1
intn_account_pagopar,Enviar comprobante,,1
intn_account_pagopar,Error,,1
intn_account_pagopar,ID,,1
intn_account_pagopar,Invalid PagoPar notification token,,1
intn_account_pagopar,No PagoPar transaction found for order %s,,1
intn_account_pagopar,PagoPar payment for invoice %s,,1
intn_account_pagopar,PagoPar transaction failed,,1
intn_account_pagopar,Paid with Aquipago,,2
intn_account_pagopar,Pending,,1
intn_account_pagopar,Rechazado,,1
intn_account_pagopar,Transfer payments require an approved transfer receipt.,,1
intn_account_pagopar,Transfer receipt approved.,,1
intn_account_pagopar,Transfer receipt rejected.,,1
intn_account_pagopar,Your payment has been authorized.,,1
intn_account_pagopar,Your payment has been cancelled.,,1
intn_account_pagopar,Your payment has been successfully processed but is waiting for approval.,,1
intn_account_pagopar,Your payment has been successfully processed.,,1
intn_account_pagopar,Se autorizó su pago.,,0
intn_account_pagopar,Se canceló su pago.,,0
intn_account_pagopar,Su pago se procesó con éxito pero está en espera de aprobación.,,0
intn_account_pagopar,Tu pago se procesó con éxito.,,0
intn_account_payment_group,'Credit Note - %s' % (object.name),,1
intn_account_payment_group,<strong>Customer:</strong>,,1
intn_account_payment_group,<strong>Date:</strong>,,1
intn_account_payment_group,<strong>Number:</strong>,,1
intn_account_payment_group,<strong>Original Invoice:</strong>,,1
intn_account_payment_group,<strong>Total:</strong>,,1
intn_account_payment_group,April,,1
intn_account_payment_group,Aqui Pago,,1
intn_account_payment_group,August,,1
intn_account_payment_group,Cash and credit invoices cannot be mixed in the same receipt,,1
intn_account_payment_group,Check already exists: %(bank)s %(check)s,,1
intn_account_payment_group,Credit Note,,1
intn_account_payment_group,Credit Note Detail,,1
intn_account_payment_group,Credit Note Lines,,1
intn_account_payment_group,December,,1
intn_account_payment_group,Description,,1
intn_account_payment_group,Duplicated transfer,,1
intn_account_payment_group,February,,1
intn_account_payment_group,ID,,1
intn_account_payment_group,January,,1
intn_account_payment_group,July,,1
intn_account_payment_group,June,,1
intn_account_payment_group,March,,1
intn_account_payment_group,May,,1
intn_account_payment_group,Memo,,1
intn_account_payment_group,November,,1
intn_account_payment_group,October,,1
intn_account_payment_group,Original Invoice Lines,,1
intn_account_payment_group,Payment receipt %(receipt)s confirmed. Service processing may begin.,,1
intn_account_payment_group,Payment type is not defined. Contact your administrator,,1
intn_account_payment_group,Qty,,1
intn_account_payment_group,Receipts,,2
intn_account_payment_group,Sale Orders,,2
intn_account_payment_group,September,,1
intn_account_payment_group,Subtotal,,1
intn_account_payment_group,Transfer %(document)s already exists in payment %(payment)s.,,1
intn_account_payment_group,Unit Price,,1
intn_account_payment_group,You do not have permission to cancel receipts,,1
intn_account_payment_group,You do not have permission to register payment orders,,1
intn_account_payment_group,You do not have permission to register receipts,,1
intn_api_invoices,INTN,,1
intn_api_invoices,Invoice not found,,1
intn_api_invoices,No bank/cash journal found to register the payment.,,1
intn_bank_transfer_fleet_bridge,Journal Entry,,1
intn_bank_transfer_fleet_bridge,INTN Bank Transfer Fleet Service Request Bridge,,0
intn_bank_transfer_fleet_bridge,Auto-confirm fleet service requests when their related invoice is paid through the bank transfer flow,,0
intn_brand_service_requests,'Certificado de Conformidad de Lotes de Productos ONC N° %s' % (object.name),,1
intn_brand_service_requests,'Licencia ONC N° %s' % (object.name),,1
intn_brand_service_requests,'ONN_NORMS_%s' % (object.name),,1
intn_brand_service_requests,'ONN_NORMS_PREVIEW_%s' % (object.name),,1
intn_brand_service_requests,", Reglamento
                                                Especifico",,1
intn_brand_service_requests,", a partir de la fecha de expedición.
                                                <br/>
                                                <br/>",,1
intn_brand_service_requests,- Remitir 2 (dos) originales del Informe/Certificado a nombre del ONC.,,1
intn_brand_service_requests,"- Remitir al correo labdala@intn.gov.py la fecha estimada de entrega del Informe/Certificado, en un plazo de 5 (cinco)
                                                            días hábiles a partir de la recepción de la presente.",,1
intn_brand_service_requests,1.2Auditoría Etapa I,,1
intn_brand_service_requests,1ra. Cuota - Conjuntamente con la Facturación de la 3ra. cuota del Contrato ONC N° 500-2BP-041,,1
intn_brand_service_requests,1ra. Cuota - Conjuntamente con la Facturación de la 4ta. cuota del Contrato ONC N° 500-2BP-006,,1
intn_brand_service_requests,2da Cuota - Conjuntamente con la Facturación de la 5ta. cuota del Contrato ONC N° 500-2BP-005   3,,1
intn_brand_service_requests,2da. Cuota - Conjuntamente con la Facturación de la 4ta. cuota del Contrato ONC N° 500-2BP-041,,1
intn_brand_service_requests,2da. Cuota - Conjuntamente con la Facturación de la 5ta. cuota del Contrato ONC N° 500-2BP-006,,1
intn_brand_service_requests,3ra. Cuota - Conjuntamente con la Facturación de la 5ta. cuota del Contrato ONC N° 500-2BP-041,,1
intn_brand_service_requests,3ra. Cuota - Conjuntamente con la Facturación de la 6ta. cuota del Contrato ONC N° 500-2BP-006,,1
intn_brand_service_requests,4ta. Cuota - Conjuntamente con la Facturación de la 6ta. cuota del Contrato ONC N° 500-2BP-041,,1
intn_brand_service_requests,"<b>Asunción, </b>",,1
intn_brand_service_requests,"<br/>
                                                                <br/>
                                                                LIC. ERIKA ETCHEVERRY<br/>
                                                                DIRECTORA - ONC INTN",,1
intn_brand_service_requests,"<br/>
                                                            <br/>
                                                            <br/>
                                                            <br/>
                                                            FUNCIONARIO ONI - INTN<br/>
                                                            DIRECTORA - ONC INTN",,1
intn_brand_service_requests,"<br/>
                                                            <br/>
                                                            <br/>
                                                            <br/>
                                                            SOLICITANTE O REPRESENTANTE<br/>
                                                            TESTIGO DEL MUESTREO",,1
intn_brand_service_requests,"<br/>
                                                            <br/>
                                                            <br/>
                                                            Dirección ONC INTN",,2
intn_brand_service_requests,"<br/>
                                                            <span class=""bold"">Tembipota:</span>
                                                            Oipytyvõ tekoaty, mba’eapopyha, ñemureko ha
                                                            opaite mba’e’aporãme, taha’e jehapereka, kuave’ẽmby ñepytyvõmby,
                                                            mbojojaha, mba’era’ãha, tendyry ñangareko rupive, avei kuatia mboaje
                                                            ha jesareko
                                                            iporãve hag̃ua mba’eapopy, kuave’ẽmby, tapichakuéra jeikoporã ha
                                                            tekomo’ã, tembiapo omomba’eguasúva tekoaty ha tekoha reheve.
                                                            <span class=""bold"">Misión:</span>Contribuir con la sociedad, la
                                                            industria, el comercio, el sector productivo, mediante la
                                                            investigación, servicios de asistencia técnica,
                                                            normalización, metrología, seguridad eléctrica, certificación e
                                                            inspección, para el mejoramiento de la calidad de los productos, los
                                                            servicios, el
                                                            bienestar y seguridad de las personas, con un enfoque de
                                                            responsabilidad social y ambiental.
                                                            <br/>
                                                            <span class=""bold"">Tembihecha:</span>Temimoĩmby hembiapopyahukuaáva
                                                            ha ojepytaso añetéva, ojehechakuáva tetãpýre ha tetã ambue rupi
                                                            omog̃uahẽ porã rehe kuave’ẽmbyeta
                                                            puruharakuérape, imba’apoharakuéra ikatupyry ha imba’erechakuaágui,
                                                            ha upéichante avei oipytyvõhaguére tekoatýpe.
                                                            <span class=""bold"">Visión:</span>Ser una institución innovadora y
                                                            competitiva, reconocida nacional e internacionalmente por la calidad
                                                            de sus servicios, la excelencia profesional
                                                            y humana de su gente, y su contribución
                                                            a la sociedad.",,1
intn_brand_service_requests,"<br/>
                                                        <br/>
                                                        <br/>
                                                        <br/>
                                                        <br/>
                                                        <br/>
                                                        Dirección ONC",,1
intn_brand_service_requests,"<br/>
                                                        <br/>
                                                        <br/>
                                                        <br/>
                                                        <br/>
                                                        <br/>
                                                        Responsable de Certificación ONC",,1
intn_brand_service_requests,"<br/>
                                                        <span class=""bold"">Tembipota:</span>
                                                        Oipytyvõ tekoaty, mba’eapopyha, ñemureko ha
                                                        opaite mba’e’aporãme, taha’e jehapereka, kuave’ẽmby ñepytyvõmby,
                                                        mbojojaha, mba’era’ãha, tendyry ñangareko rupive, avei kuatia mboaje
                                                        ha jesareko
                                                        iporãve hag̃ua mba’eapopy, kuave’ẽmby, tapichakuéra jeikoporã ha
                                                        tekomo’ã, tembiapo omomba’eguasúva tekoaty ha tekoha reheve.
                                                        <span class=""bold"">Misión:</span>Contribuir con la sociedad, la
                                                        industria, el comercio, el sector productivo, mediante la
                                                        investigación, servicios de asistencia técnica,
                                                        normalización, metrología, seguridad eléctrica, certificación e
                                                        inspección, para el mejoramiento de la calidad de los productos, los
                                                        servicios, el
                                                        bienestar y seguridad de las personas, con un enfoque de
                                                        responsabilidad social y ambiental.
                                                        <br/>
                                                        <span class=""bold"">Tembihecha:</span>Temimoĩmby hembiapopyahukuaáva
                                                        ha ojepytaso añetéva, ojehechakuáva tetãpýre ha tetã ambue rupi
                                                        omog̃uahẽ porã rehe kuave’ẽmbyeta
                                                        puruharakuérape, imba’apoharakuéra ikatupyry ha imba’erechakuaágui,
                                                        ha upéichante avei oipytyvõhaguére tekoatýpe.
                                                        <span class=""bold"">Visión:</span>Ser una institución innovadora y
                                                        competitiva, reconocida nacional e internacionalmente por la calidad
                                                        de sus servicios, la excelencia profesional
                                                        y humana de su gente, y su contribución
                                                        a la sociedad.",,1
intn_brand_service_requests,"<br/>
                                                        FECHA",,1
intn_brand_service_requests,"<br/>
                                                        LIC. ERIKA GLORIA ETCHEVERRY<br/>DIRECTORA ONC-INTN
                                                        <br/>",,1
intn_brand_service_requests,"<br/>
                                                <span class=""bold"">
                                                    PERIODO DE VALIDEZ DE ÉSTE CERTIFICADO:
                                                </span>",,1
intn_brand_service_requests,"<br/>
                                            Concede a:
                                            <br/>",,1
intn_brand_service_requests,"<br/>
                                            Licencia para el uso de la <span class=""bold"">MARCA INTN - SERVICIOS</span> para su servicio de :",,1
intn_brand_service_requests,"<span class=""bold"" style=""font-size:18px"">
                                                        EL ORGANISMO NACIONAL DE CERTIFICACIÓN <br/>
                                                        DEL INSTITUTO NACIONAL DE TECNOLOGÍA, NORMALIZACIÓN Y METROLOGÍA
                                                    </span>",,1
intn_brand_service_requests,"<span class=""bold"">
                                                                    RUC:
                                                                </span>",,1
intn_brand_service_requests,"<span class=""bold"">
                                                                DMU N°:
                                                            </span>",,1
intn_brand_service_requests,"<span class=""bold"">
                                                                Dirección:
                                                            </span>",,1
intn_brand_service_requests,"<span class=""bold"">
                                                                Dpto Ejecutor:
                                                            </span>",,1
intn_brand_service_requests,"<span class=""bold"">
                                                                Entrada N°:
                                                            </span>",,1
intn_brand_service_requests,"<span class=""bold"">
                                                                Fecha de ejecución del muestreo

                                                            </span>",,1
intn_brand_service_requests,"<span class=""bold"">
                                                                Fecha de recepción:
                                                            </span>",,1
intn_brand_service_requests,"<span class=""bold"">
                                                                Solicitante:
                                                            </span>",,1
intn_brand_service_requests,"<span class=""bold"">
                                                            El ORGANISMO NACIONAL DE CERTIFICACIÓN DEL INTN,
                                                        </span>
                                                        solicita tenga a bien realizar los ensayos detallados más abajo, conforme a los siguientes datos:",,1
intn_brand_service_requests,"<span class=""bold"">
                                                            Expediente INTN N°:
                                                        </span>",,1
intn_brand_service_requests,"<span class=""bold"">
                                                            Fecha de Solicitud:
                                                        </span>",,1
intn_brand_service_requests,"<span class=""bold"">
                                                            Lugar de Muestreo:
                                                        </span>",,1
intn_brand_service_requests,"<span class=""bold"">
                                                            Lugar y Fecha:
                                                        </span>",,1
intn_brand_service_requests,"<span class=""bold"">
                                                            Norma o Método Aplicado:
                                                        </span>",,1
intn_brand_service_requests,"<span class=""bold"">
                                                            Producto:
                                                        </span>",,2
intn_brand_service_requests,"<span class=""bold"">
                                                            Señor(es):
                                                        </span>",,1
intn_brand_service_requests,"<span class=""bold"">
                                                            Solicitante:
                                                        </span>",,1
intn_brand_service_requests,"<span class=""bold"">
                                                        Dirección:
                                                    </span>",,1
intn_brand_service_requests,"<span class=""bold"">
                                                        Fecha de Solicitud:
                                                    </span>",,1
intn_brand_service_requests,"<span class=""bold"">
                                                        Lote:
                                                    </span>",,1
intn_brand_service_requests,"<span class=""bold"">
                                                        Nombre y Apellido / Razón Social:
                                                    </span>",,1
intn_brand_service_requests,"<span class=""bold"">
                                                    Detalle del lote
                                                </span>
                                                <span>
                                                    (Cantidad, presentación, fecha elaboración y vencimiento, identificación y otros)
                                                </span>",,1
intn_brand_service_requests,"<span class=""bold"">
                                                    Muestra
                                                </span>",,1
intn_brand_service_requests,"<span class=""bold"">
                                                    Notas:
                                                </span>",,1
intn_brand_service_requests,"<span class=""bold"">
                                                    Observación
                                                </span>",,1
intn_brand_service_requests,"<span>Código: FOR-ONI-76, Versión: 01</span>",,1
intn_brand_service_requests,<strong>Category:</strong>,,2
intn_brand_service_requests,<strong>Estado:</strong>,,4
intn_brand_service_requests,<strong>Fecha:</strong>,,1
intn_brand_service_requests,<strong>Número:</strong>,,3
intn_brand_service_requests,<strong>Producto:</strong>,,2
intn_brand_service_requests,<strong>Sale order:</strong>,,3
intn_brand_service_requests,<strong>Service type:</strong>,,2
intn_brand_service_requests,<strong>Solicitante:</strong>,,3
intn_brand_service_requests,<strong>Titular:</strong>,,1
intn_brand_service_requests,<strong>Type:</strong>,,1
intn_brand_service_requests,<strong>Vigencia:</strong>,,1
intn_brand_service_requests,A label delivery operation type must be configured.,,1
intn_brand_service_requests,A printer user is required.,,1
intn_brand_service_requests,Access warning,,6
intn_brand_service_requests,Acta INTN N°:,,1
intn_brand_service_requests,Acta de Extracción de Muestras:,,1
intn_brand_service_requests,Acta de extracción de muestras,,2
intn_brand_service_requests,Action Needed,,16
intn_brand_service_requests,Active,,13
intn_brand_service_requests,Activities,,16
intn_brand_service_requests,Activity Exception Decoration,,16
intn_brand_service_requests,Activity State,,16
intn_brand_service_requests,Activity Type Icon,,16
intn_brand_service_requests,Actualizar,,1
intn_brand_service_requests,Actualizar Cantidades,,1
intn_brand_service_requests,Additional Cost Amount,,2
intn_brand_service_requests,Address,,1
intn_brand_service_requests,Agents 1,,1
intn_brand_service_requests,Agents 2,,1
intn_brand_service_requests,Applicant,,8
intn_brand_service_requests,Applicant City,,2
intn_brand_service_requests,Applicant Country,,1
intn_brand_service_requests,Applicant State,,1
intn_brand_service_requests,Applicant Tax ID,,5
intn_brand_service_requests,Applies Additional Cost,,2
intn_brand_service_requests,Approx Qty Used,,1
intn_brand_service_requests,Archivo Excel,,1
intn_brand_service_requests,Asignar,,1
intn_brand_service_requests,Assigned,,2
intn_brand_service_requests,"Asunción,",,2
intn_brand_service_requests,Attachment Count,,16
intn_brand_service_requests,Auditoría,,1
intn_brand_service_requests,Auditoría de Vigilancia antes de finalizar el 2do año,,1
intn_brand_service_requests,Autorizar Reimpresión,,1
intn_brand_service_requests,Available Labels,,1
intn_brand_service_requests,Available Qty,,1
intn_brand_service_requests,"Avda. Artigas 3973 y Gral. Roa / C.C. | Teléf.: 288 6000 |
                                                            www.intn.gov.py | e-mail: intn@intn.gov.py | Asunción – Paraguay",,1
intn_brand_service_requests,"Avda. Artigas 3973 y Gral. Roa / C.C. | Teléf.: 288 6000 |
                                                        www.intn.gov.py | e-mail: intn@intn.gov.py | Asunción – Paraguay",,1
intn_brand_service_requests,"Avenida Artigas N° 3.973 y Gral. Roa / Teléf: 595-21 290 160 - Asunción, Paraguay",,3
intn_brand_service_requests,Batch Certificates,,4
intn_brand_service_requests,Batch Conformity Certificate,,1
intn_brand_service_requests,Batch Detail,,1
intn_brand_service_requests,Batch Identification,,1
intn_brand_service_requests,Batch Quantity,,1
intn_brand_service_requests,Batch Size,,1
intn_brand_service_requests,Batch Size (kg),,1
intn_brand_service_requests,Batch Volume,,1
intn_brand_service_requests,Branch,,1
intn_brand_service_requests,Brand,,3
intn_brand_service_requests,Brand Batch Conformity Certificate,,1
intn_brand_service_requests,Brand Budget Conformity,,1
intn_brand_service_requests,Brand Budget Internal,,1
intn_brand_service_requests,Brand Budget System,,1
intn_brand_service_requests,Brand Conformity License,,1
intn_brand_service_requests,Brand Conformity License Mixin,,1
intn_brand_service_requests,Brand Conformity License Type 2,,1
intn_brand_service_requests,Brand Delivered Quantity Update Line,,1
intn_brand_service_requests,Brand Delivered Quantity Update Wizard,,1
intn_brand_service_requests,Brand Invoice Rejection Wizard,,1
intn_brand_service_requests,Brand Label Control,,1
intn_brand_service_requests,Brand Label Invoice Voucher,,1
intn_brand_service_requests,Brand Label Invoice Voucher Line,,1
intn_brand_service_requests,Brand Label Print Job,,1
intn_brand_service_requests,Brand Label Print Job Line,,1
intn_brand_service_requests,Brand Label Print Verify Wizard,,1
intn_brand_service_requests,Brand Label Print Wizard,,1
intn_brand_service_requests,Brand Label Printer,,1
intn_brand_service_requests,Brand Label Reprint Line,,1
intn_brand_service_requests,Brand Label Reprint Wizard,,1
intn_brand_service_requests,Brand Labels Printer,,1
intn_brand_service_requests,Brand License Certificates,,2
intn_brand_service_requests,Brand License Norm,,1
intn_brand_service_requests,Brand License Regulation,,1
intn_brand_service_requests,Brand License Scope,,1
intn_brand_service_requests,Brand License Services,,2
intn_brand_service_requests,Brand Licenses,,1
intn_brand_service_requests,Brand ONN Norms,,1
intn_brand_service_requests,Brand Payment Method,,1
intn_brand_service_requests,Brand Print Balance,,1
intn_brand_service_requests,Brand Print Balances,,1
intn_brand_service_requests,Brand Print Request,,2
intn_brand_service_requests,Brand Print Request Audit,,1
intn_brand_service_requests,Brand Print Request Audit Report,,1
intn_brand_service_requests,Brand Print Request Line,,1
intn_brand_service_requests,Brand Print Request Report Wizard,,1
intn_brand_service_requests,Brand Print Requests,,1
intn_brand_service_requests,Brand Print Shop,,1
intn_brand_service_requests,Brand Product Brand,,1
intn_brand_service_requests,Brand Product Manufacturer,,1
intn_brand_service_requests,Brand Rejection Note,,1
intn_brand_service_requests,Brand Report Date Helpers,,1
intn_brand_service_requests,Brand Report QR Code Mixin,,1
intn_brand_service_requests,Brand Request,,1
intn_brand_service_requests,Brand Requests,,1
intn_brand_service_requests,Brand Ring Color,,1
intn_brand_service_requests,Brand Sampling,,1
intn_brand_service_requests,Brand Sampling Extraction Minutes,,1
intn_brand_service_requests,Brand Sampling Report,,2
intn_brand_service_requests,Brand Sampling Test Request,,2
intn_brand_service_requests,Brand Sampling Test Request Line,,1
intn_brand_service_requests,Brand Scope 1,,1
intn_brand_service_requests,Brand Scope 2,,1
intn_brand_service_requests,Brand Service Requests,,1
intn_brand_service_requests,Brand Service Requests Manager,,1
intn_brand_service_requests,Brand Stage,,1
intn_brand_service_requests,Brand Stage Line,,1
intn_brand_service_requests,Brand Stages,,2
intn_brand_service_requests,Brand Sub-stage,,1
intn_brand_service_requests,Brand Sub-stages,,1
intn_brand_service_requests,Brand Test Determination,,1
intn_brand_service_requests,Brand Test Determination Product,,1
intn_brand_service_requests,Brand Usage,,1
intn_brand_service_requests,Brand Usage Code,,2
intn_brand_service_requests,Brand Usage State,,2
intn_brand_service_requests,Brand Voucher Management,,1
intn_brand_service_requests,Brand Voucher Management Line,,1
intn_brand_service_requests,Brand document print count,,1
intn_brand_service_requests,Brand request (%s),,1
intn_brand_service_requests,Brand services license certificate,,1
intn_brand_service_requests,Brand usage state enabled/expired is set automatically by license workflow.,,1
intn_brand_service_requests,Brand: Check License Expiry,,1
intn_brand_service_requests,Brand: ONN Norms,,1
intn_brand_service_requests,Brand: ONN Norms Reprint,,1
intn_brand_service_requests,Budget Stage,,2
intn_brand_service_requests,CANT.,,1
intn_brand_service_requests,CERTIFICADO DE CONFORMIDAD DE LOTES DE PRODUCTOS,,1
intn_brand_service_requests,Cancelar,,17
intn_brand_service_requests,Cancelled,,12
intn_brand_service_requests,Cantidad,,2
intn_brand_service_requests,Cantidad de Lote:,,1
intn_brand_service_requests,Cantidad muestra/s,,1
intn_brand_service_requests,Certificación,,1
intn_brand_service_requests,Certificación ONC,,2
intn_brand_service_requests,Certificado de Conformidad de Lote,,1
intn_brand_service_requests,Certificado de Conformidad de Lotes,,1
intn_brand_service_requests,Certificado de Conformidad de Lotes de Productos,,1
intn_brand_service_requests,Certificados de Conformidad de Lote,,1
intn_brand_service_requests,Certificados de lote,,1
intn_brand_service_requests,Certificate Balance,,1
intn_brand_service_requests,Certificate Balance Text,,1
intn_brand_service_requests,Certificate Management,,1
intn_brand_service_requests,Certificate Notes,,3
intn_brand_service_requests,City,,2
intn_brand_service_requests,City ID,,8
intn_brand_service_requests,Cliente,,1
intn_brand_service_requests,Cliente:,,1
intn_brand_service_requests,Color,,1
intn_brand_service_requests,Color de Anillos,,2
intn_brand_service_requests,Company,,7
intn_brand_service_requests,Confidencialidad:,,1
intn_brand_service_requests,Confirmar,,9
intn_brand_service_requests,Confirmed,,9
intn_brand_service_requests,Conformity,,1
intn_brand_service_requests,Conformity License,,1
intn_brand_service_requests,Conformity License Type 2,,1
intn_brand_service_requests,Contact,,1
intn_brand_service_requests,Contenido de la Nota,,1
intn_brand_service_requests,Control End,,1
intn_brand_service_requests,Control Next,,1
intn_brand_service_requests,Control Number,,3
intn_brand_service_requests,Control Start,,1
intn_brand_service_requests,Control de Etiquetas,,2
intn_brand_service_requests,Control de Etiquetas Vendidas,,1
intn_brand_service_requests,Country,,6
intn_brand_service_requests,Counts successful PDF downloads for print-once policies.,,1
intn_brand_service_requests,Crear Expediente,,1
intn_brand_service_requests,Crear Transferencias,,1
intn_brand_service_requests,Create,,1
intn_brand_service_requests,Created by,,39
intn_brand_service_requests,Created on,,39
intn_brand_service_requests,Current Stock,,1
intn_brand_service_requests,Customer,,1
intn_brand_service_requests,Customer Portal URL,,6
intn_brand_service_requests,"Código: ONC-FOR-021<br/>
                                                            Revisión: 06 <br/>
                                                            Vigencia: 2014-10-01<br/>
                                                            Página 1 de 2",,1
intn_brand_service_requests,DOCUMENTO DE REFERENCIA,,1
intn_brand_service_requests,Date,,5
intn_brand_service_requests,Date From,,1
intn_brand_service_requests,Date In Words,,5
intn_brand_service_requests,Date To,,1
intn_brand_service_requests,Datetime,,4
intn_brand_service_requests,Datos principales,,1
intn_brand_service_requests,Delivered Qty,,1
intn_brand_service_requests,Deliveries,,2
intn_brand_service_requests,Denominación de la empresa:,,1
intn_brand_service_requests,Descargar PDF,,2
intn_brand_service_requests,Descripción de los ítems:,,1
intn_brand_service_requests,Descripción muestra/s,,1
intn_brand_service_requests,Descripción:,,1
intn_brand_service_requests,Description,,1
intn_brand_service_requests,Description Html,,3
intn_brand_service_requests,Desde:,,1
intn_brand_service_requests,Detalle,,1
intn_brand_service_requests,Detalle del Lote,,1
intn_brand_service_requests,Determinaciones,,2
intn_brand_service_requests,Determinación,,1
intn_brand_service_requests,Determination,,1
intn_brand_service_requests,Determinations,,1
intn_brand_service_requests,Dirección:,,1
intn_brand_service_requests,Display Name,,39
intn_brand_service_requests,Display Type,,1
intn_brand_service_requests,Done,,2
intn_brand_service_requests,Download PDF,,1
intn_brand_service_requests,Draft,,10
intn_brand_service_requests,Duration,,1
intn_brand_service_requests,ESQUEMA TIPO 2,,1
intn_brand_service_requests,ETIQUETA,,1
intn_brand_service_requests,ETIQUETAS SOLICITADAS,,1
intn_brand_service_requests,"El Organismo Nacional de Certificación del INTN,
                                                    <span class=""bold"">
                                                        concede la presente Licencia para el Uso de la Marca ONC de Conformidad.
                                                    </span>",,1
intn_brand_service_requests,"El Organismo Nacional de Certificación del INTN,
                                                    concede la presente Licencia para el Uso de la Marca ONC de Conformidad, al producto.
                                                    <br/>
                                                    <br/>",,1
intn_brand_service_requests,Email,,1
intn_brand_service_requests,Enabled,,1
intn_brand_service_requests,Entregas,,1
intn_brand_service_requests,Enviar,,1
intn_brand_service_requests,"Esta LICENCIA, implica el cumplimiento de los requisitos del Reglamento General",,1
intn_brand_service_requests,Estado,,2
intn_brand_service_requests,Este ACTA deberá ser completado en el lugar y en el momento del muestreo.,,1
intn_brand_service_requests,Etapas,,1
intn_brand_service_requests,Etiqueta,,1
intn_brand_service_requests,Etiquetas solicitadas,,1
intn_brand_service_requests,Excel File,,1
intn_brand_service_requests,Excel Filename,,1
intn_brand_service_requests,Excel Row Count,,1
intn_brand_service_requests,Executing Department,,1
intn_brand_service_requests,Execution Date,,1
