sprint,sprint_fechas,historia_id,historia_titulo,tipo_item,funcional,descripcion,cumple,historia_estado,modulos_evidencia,notas,rf_referencia,csv_desarrollo
1,23/02/2026-06/03/2026,US-S1-05,Remision y devolucion de precintos,Subtarea funcional,Si,Permisos y menu reportes coherentes,Cumple,Cumple,intn_fleet_cistern_seals,menu_cistern_seal_report_wizard,,
1,23/02/2026-06/03/2026,US-S1-05,Remision y devolucion de precintos,Subtarea funcional,Si,Wizard unico con tipo de informe (precintos),Cumple,Cumple,intn_fleet_cistern_seals (seal.report.wizard),returns / seal_status / remissions,,
1,23/02/2026-06/03/2026,US-S1-06,Certificados de cisternas,Historia,Si,Certificados aprobado/rechazado/imposibilidad,Cumple,Cumple,intn_certificate_management; intn_fleet_cistern_certificates; intn_fleet_cistern_verification,,,
1,23/02/2026-06/03/2026,US-S1-06,Certificados de cisternas,Subtarea funcional,Si,Campo resultado Aprobado/Rechazado/Imposibilidad,Cumple,Cumple,intn_certificate_management,,,
1,23/02/2026-06/03/2026,US-S1-06,Certificados de cisternas,Subtarea funcional,Si,Reporte listado Certificados de Aprobados,Cumple,Cumple,intn_fleet_cistern_certificates (certificate.report.wizard),,,
1,23/02/2026-06/03/2026,US-S1-06,Certificados de cisternas,Subtarea funcional,Si,Reporte listado Certificados de Imposibilidad,Cumple,Cumple,intn_fleet_cistern_certificates,,,
1,23/02/2026-06/03/2026,US-S1-06,Certificados de cisternas,Subtarea funcional,Si,Reporte listado Certificados de Rechazados,Cumple,Cumple,intn_fleet_cistern_certificates,,,
1,23/02/2026-06/03/2026,US-S1-06,Certificados de cisternas,Subtarea funcional,Si,Estados Aprobado/Rechazado/Imposibilidad,Cumple,Cumple,intn_certificate_management,,,
1,23/02/2026-06/03/2026,US-S1-06,Certificados de cisternas,Subtarea funcional,Si,Certificado Prueba Hidrostatica,Cumple,Cumple,intn_fleet_cistern_verification/reports/hydrostatic_test_report.xml,,,
1,23/02/2026-06/03/2026,US-S1-06,Certificados de cisternas,Subtarea funcional,Si,Certificado Verificacion Visual,Cumple,Cumple,intn_fleet_cistern_verification/reports/visual_verification_report.xml,,,
1,23/02/2026-06/03/2026,US-S1-06,Certificados de cisternas,Subtarea funcional,Si,Requisitos calibracion y solicitud verificacion camiones,Cumple,Cumple,intn_fleet_cisterns/reports/,,,
1,23/02/2026-06/03/2026,US-S1-07,Multa por inasistencia a inspeccion,Historia,Si,Multa bloquea reagendamiento hasta pago,Cumple,Cumple,intn_fleet_cistern_fines,Cron no-show + action_unblock,,
1,23/02/2026-06/03/2026,US-S1-08,Check de procedimientos,Historia,Si,Checks con trazabilidad tecnico,Cumple,Cumple,intn_fleet_cistern_verification,,RF 8.3,Listo para pruebas
1,23/02/2026-06/03/2026,US-S1-08,Check de procedimientos,Subtarea funcional,Si,Asignacion tecnico para checks de operaciones,Cumple,Cumple,intn_fleet_cistern_verification; intn_service_request (technician_id),checked_by checked_date en lineas inspeccion,,
2,09/03/2026-20/03/2026,US-S2-01,Agendamiento y solicitud de servicios,Historia,Si,Formulario adaptado por servicio,Cumple,Cumple,intn_portal_fleet_requests; intn_portal_metrology_dispenser_requests; intn_service_request,,RF 2.2,Listo para pruebas
2,09/03/2026-20/03/2026,US-S2-01,Agendamiento y solicitud de servicios,Subtarea funcional,Si,Formularios portal acoplado emblema adjuntos,Cumple,Cumple,intn_portal_fleet_requests,OWL views por tipo servicio,,
2,09/03/2026-20/03/2026,US-S2-01,Agendamiento y solicitud de servicios,Subtarea funcional,Si,Productos servicio con precios visibles,Cumple,Cumple,intn_portal_service_products; service_request_sale_mixin,portal_estimate_total,,
2,09/03/2026-20/03/2026,US-S2-01,Agendamiento y solicitud de servicios,Subtarea funcional,Si,Registro personal tercerizado,Cumple,Cumple,intn_portal_fleet_requests,substitute_name/document/phone,,
2,09/03/2026-20/03/2026,US-S2-02,Seguimiento de pedido,Historia,Si,Estado del pedido en portal,Cumple,Cumple,intn_portal_fleet_requests; intn_portal_sale_orders,Badges listados y detalle solicitud,RF 2.6,Listo para pruebas
2,09/03/2026-20/03/2026,US-S2-02,Seguimiento de pedido,Subtarea funcional,Si,Flujo de Usuario Portal web,Cumple,Cumple,intn_portal_fleet_requests,Rutas /my/service_requests /my/orders /my/quotes,,
2,09/03/2026-20/03/2026,US-S2-02,Seguimiento de pedido,Subtarea funcional,Si,Diagrama de Estados general Portal,Cumple,Cumple,intn_portal_fleet_requests,Badges de estado en listado y detalle de solicitud,,
2,09/03/2026-20/03/2026,US-S2-03,Visualizacion de presupuesto,Historia,Si,Presupuesto asociado a solicitud,Parcial,Parcial,intn_portal_sale_orders; intn_portal_fleet_requests,"Retornado por QA: precio por capacidad x compartimiento (resuelto en 53a1a0a4, tramos sin firma de ONM) y terminologia Presupuesto (remanente Cotizacion en intn_portal_fleet_requests/i18n/es_PY.po:149). Ver docs/project/specs/rf-2.7-presupuesto-en-portal.md",RF 2.7,Retornado
2,09/03/2026-20/03/2026,US-S2-04,Datos obligatorios de contacto,Historia,Si,ID nombre telefono correo obligatorios,Cumple,Cumple,intn_portal_registration; partner_vat_unique,Validacion portal registro empresa y contacto,RF 1.2,Listo para pruebas
2,09/03/2026-20/03/2026,US-S2-04,Datos obligatorios de contacto,Subtarea funcional,Si,Direccion contacto con GPS Paraguay,Cumple,Cumple,partner_map_picker; intn_portal_registration,action_open_map_picker en establecimientos,,
2,09/03/2026-20/03/2026,US-S2-04,Datos obligatorios de contacto,Subtarea funcional,Si,Historial por tipo servicio empresa/sucursal/personal,Cumple,Cumple,intn_portal_registration (intn.establishment),action_view_service_request_history agrupado por tipo,,
2,09/03/2026-20/03/2026,US-S2-04,Datos obligatorios de contacto,Subtarea funcional,Si,Etiquetas servicios tipo cliente segmentacion,Cumple,Cumple,intn_portal_registration,category_ids en establecimientos y partners,,
2,09/03/2026-20/03/2026,US-S2-04,Datos obligatorios de contacto,Subtarea funcional,Si,Restringir contactos duplicados por RUC,Cumple,Cumple,partner_vat_unique,,,
2,09/03/2026-20/03/2026,US-S2-04,Datos obligatorios de contacto,Subtarea funcional,Si,Archivar datos sin eliminar,Cumple,Cumple,res.partner active; intn.establishment active,,,
2,09/03/2026-20/03/2026,US-S2-05,Solicitudes picos de surtidores,Historia,Si,Servicios picos surtidores,Cumple,Cumple,intn_portal_metrology_dispenser_requests,,,
2,09/03/2026-20/03/2026,US-S2-05,Solicitudes picos de surtidores,Subtarea funcional,Si,Tipo servicio in situ o laboratorio,Cumple,Cumple,intn_portal_metrology_dispenser_requests,service_location en catalogo,,
2,09/03/2026-20/03/2026,US-S2-05,Solicitudes picos de surtidores,Subtarea funcional,Si,Serie marca modelo ficha tecnica pico,Cumple,Cumple,intn_portal_metrology_dispenser_requests,technical_sheet_ids,,
2,09/03/2026-20/03/2026,US-S2-06,Ordenes de servicio en portal,Historia,Si,Gestion ordenes desde portal,Cumple,Cumple,intn_portal_fleet_requests; intn_portal_sale_orders,,,
2,09/03/2026-20/03/2026,US-S2-06,Ordenes de servicio en portal,Subtarea funcional,Si,Mis ordenes de servicios,Cumple,Cumple,intn_portal_fleet_requests,/my/service_requests,Mis ordenes servicios,Listo para pruebas
2,09/03/2026-20/03/2026,US-S2-06,Ordenes de servicio en portal,Subtarea funcional,Si,Crear nueva orden de servicio,Cumple,Cumple,intn_portal_fleet_requests,/my/service_request/new,Crear nueva orden,Listo para pruebas
2,09/03/2026-20/03/2026,US-S2-06,Ordenes de servicio en portal,Subtarea funcional,Si,Revisar Citas,Cumple,Cumple,intn_portal_fleet_requests,/my/appointments portal_my_appointments,Revisar Citas,Listo para pruebas
2,09/03/2026-20/03/2026,US-S2-06,Ordenes de servicio en portal,Subtarea funcional,Si,Boton Home,Cumple,Cumple,intn_portal_fleet_requests; intn_portal_sale_orders,Contadores portal home,Boton Home,Listo para pruebas
3,23/03/2026-10/04/2026,US-S3-01,Login Identidad Electronica,Historia,Si,Login API Identidad Electronica,Parcial,Parcial,intn_portal_hybrid_auth,OAuth MITIC placeholder no produccion,RF 2.8,Trancado
3,23/03/2026-10/04/2026,US-S3-02,Consulta establecimientos por RUC,Historia,Si,Sucursales disponibles para RUC,Parcial,Parcial,intn_portal_registration,Establecimientos internos; lookup RUC solo nombre/telefono,RF 1.3,Trancado
3,23/03/2026-10/04/2026,US-S3-03,Visualizacion informes pagados,Historia,Si,Informe tras pago del servicio,Cumple,Cumple,intn_service_request; intn_portal_fleet_requests; intn_documents,Gate pago flota/certificados + portal_pdf_download_allowed,RF 2.4,Listo para pruebas
3,23/03/2026-10/04/2026,US-S3-03,Visualizacion informes pagados,Subtarea funcional,Si,Descargar documentacion asociada a solicitud,Cumple,Cumple,intn_documents; intn_portal_fleet_requests,/my/documents y rutas PDF portal,,
3,23/03/2026-10/04/2026,US-S3-04,Gestion de expedientes,Historia,Si,Crear editar cancelar expedientes,Cumple,Cumple,intn_service_request; intn_sale_additional_costs,Expediente = sale.order + service.request + portal,RF 3.4,Listo para pruebas
3,23/03/2026-10/04/2026,US-S3-04,Gestion de expedientes,Subtarea funcional,Si,Vincular expediente con facturacion,Cumple,Cumple,intn_service_request (sale_order_id),,,
3,23/03/2026-10/04/2026,US-S3-04,Gestion de expedientes,Subtarea funcional,Si,Recibir solicitudes via Portal Cliente,Cumple,Cumple,intn_portal_fleet_requests; intn_portal_metrology_dispenser_requests,,,
3,23/03/2026-10/04/2026,US-S3-04,Gestion de expedientes,Subtarea funcional,Si,Costo adicional costeo y facturacion,Cumple,Cumple,intn_sale_additional_costs,,,
3,23/03/2026-10/04/2026,US-S3-05,Estado de pago visible en listado,Historia,Si,FACTURADO PAGADO NO PAGADO CANCELADO en listado,Cumple,Cumple,intn_sale_order_payment_status; intn_service_request,commercial_payment_state en listados,,
3,23/03/2026-10/04/2026,US-S3-06,Gestor y beneficiario,Historia,Si,Gestor y Beneficiario en expediente,Cumple,Cumple,intn_service_request,manager_id beneficiary_id en service.request,,
3,23/03/2026-10/04/2026,US-S3-07,Clientes con convenio,Historia,Si,Convenios exoneraciones descuentos,Cumple,Cumple,intn_sale_agreement,Pricelist automatico,RF 3.6,
3,23/03/2026-10/04/2026,US-S3-08,Clientes a credito,Historia,Si,Listado clientes a credito en Contactos,Cumple,Cumple,intn_partner_credit_limit,action_partner_credit_customers + filtro credit_customers,RF 3.9,Listo para pruebas
3,23/03/2026-10/04/2026,US-S3-09,Ecommerce de normas,Historia,Si,Ecommerce productos Normas,Parcial,Parcial,intn_portal_registration (website_sale /my/ecommerce),Tile /my/ecommerce presente pero la tienda muestra la demo de Odoo; cero normas migradas. Cierra con la Fase N1 del plan. Ver docs/project/specs/rf-2.9-ecommerce-normas.md,RF 2.9,Listo para pruebas (desincronizado: el avance real es Parcial)
3,23/03/2026-10/04/2026,US-S3-09,Ecommerce de normas,Subtarea funcional,Si,Agregar al carrito en ecommerce,Parcial,Parcial,website_sale,Sin catalogo Normas dedicado en custom_addons; 887 productos pendientes de migrar desde intn_v12,RF 2.9,
4,13/04/2026-24/04/2026,US-S4-01,Jerarquia organizacional para reportes,Historia,Si,Organismos Unidades Departamentos reportes ventas,Cumple,Cumple,intn_organization; intn_organization_reports,Modelos organismos unidades departamentos,RF 3.10,Listo para pruebas
4,13/04/2026-24/04/2026,US-S4-02,Reestructuracion de productos,Historia,Si,Reestructurar catalogo productos,Parcial,Parcial,intn_product_organization,Categorias placeholder + migracion; sin migracion masiva catalogo,RF 3.11,Trabajando
4,13/04/2026-24/04/2026,US-S4-03,Historial variaciones de precios,Historia,Si,Historial y trazabilidad precios,Cumple,Cumple,intn_sale_price_update,,RF 3.8,Listo para pruebas
4,13/04/2026-24/04/2026,US-S4-03,Historial variaciones de precios,Subtarea funcional,Si,Aumento/descuento masivo precios (incremento),Cumple,Cumple,intn_sale_price_update/wizards/intn_price_update_wizard.py,,RF 3.7,Listo para pruebas
4,13/04/2026-24/04/2026,US-S4-04,Restriccion descarga documentos,Historia,Si,Restringir descarga informes constancias,Cumple,Cumple,intn_certificate_management; intn_documents; intn_service_request,"portal_pdf_download_allowed + intn.document.download.policy. La politica es por certificate_type_id, asi que tambien cubre RF 2.5.1 (elegir que tipos se limitan). DESINCRONIZADO: ClickUp 86e0yxqwx sigue en Pendiente",RF 2.5 / RF 2.5.1,Listo para pruebas
4,13/04/2026-24/04/2026,US-S4-04,Restriccion descarga documentos,Subtarea funcional,Si,Configurar tipos documentos limitables en descarga,Cumple,Cumple,intn_documents (intn.document.download.policy),Vistas config + certificate.type requires_payment,,
4,13/04/2026-24/04/2026,US-S4-05,Pagos credito y cancelacion,Historia,Si,Cajero pago credito cancelar,Cumple,Cumple,intn_account_payment_group; intn_account_cashier,,RF 4.6,Listo para pruebas
4,13/04/2026-24/04/2026,US-S4-05,Pagos credito y cancelacion,Subtarea funcional,Si,Notificar area via chatter al confirmar pago,Cumple,Cumple,intn_account_payment_group,_notify_linked_service_requests message_post,,
4,13/04/2026-24/04/2026,US-S4-06,Validacion DNIT en facturacion,Historia,Si,Validar RUC y nombre DNIT antes facturar,Parcial,Parcial,l10n_py_ruc,_intn_validate_dnit_before_post; API DNIT configurable,RF 4.2,Trancado
4,13/04/2026-24/04/2026,US-S4-07,Formato de factura,Historia,Si,Formato factura reestructurado,Cumple,Cumple,l10n_py_edi_segel,Campos CDC/QR EDI Paraguay,RF 4.5,Listo para pruebas
4,13/04/2026-24/04/2026,US-S4-08,Nota de credito,Historia,Si,Emitir notas de credito,Cumple,Cumple,intn_account_payment_group,NC estandar Odoo + payment group,RF 4.7,Listo para pruebas
4,13/04/2026-24/04/2026,US-S4-08,Nota de credito,Subtarea funcional,Si,Reporte NC con detalle facturas origen,Cumple,Cumple,intn_account_payment_group,credit_note_detail_report.xml,Mejora reporte NC,Listo para pruebas
4,13/04/2026-24/04/2026,US-S4-09,Integracion SIFEN,Historia,Si,Facturacion electronica SIFEN,Parcial,Parcial,l10n_py_edi_segel,Campos CDC/QR; API SET pendiente,RF 4.1,Trancado
4,13/04/2026-24/04/2026,US-S4-10,Derivacion ordenes de trabajo,Historia,Si,Derivar OT entre departamentos retornar cancelar,Parcial,Parcial,intn_mrp_workorder_forwarding,,RF 5.20,Trabajando
4,13/04/2026-24/04/2026,US-S4-10,Derivacion ordenes de trabajo,Subtarea funcional,Si,Reestructuracion Rutas de Produccion Fabricacion,Parcial,Parcial,intn_mrp_organism_access/demo/,Solo datos demo no gestion produccion,,
4,13/04/2026-24/04/2026,US-S4-11,Estados servicio en Fabricacion,Historia,Si,Recepcionado En Proceso Realizado,Cumple,Cumple,intn_mrp_organism_access,Menus por organismo y estados MRP,,
4,13/04/2026-24/04/2026,US-S4-11,Estados servicio en Fabricacion,Subtarea funcional,Si,Menu ingreso por organismo/departamento,Cumple,Cumple,intn_mrp_organism_access/views/mrp_organism_menus.xml,,,
4,13/04/2026-24/04/2026,US-S4-12,Aprobacion rechazo documentacion,Historia,Si,Observar aprobar rechazar en todos los modulos,Cumple,Cumple,intn_mrp_oiat; intn_mrp_oni; intn_portal_fleet_requests,Revision documental por modulo/organismo,RF 5.22,Listo para pruebas
4,13/04/2026-24/04/2026,US-S4-13,Notificacion al finalizar servicio,Historia,Si,Email al marcar servicio Finalizado,Cumple,Cumple,intn_service_request,mail_template_service_finalized; write done; certificate confirm,RF 5.16,Listo para pruebas
4,13/04/2026-24/04/2026,US-S4-13,Notificacion al finalizar servicio,Subtarea funcional,No,Configurar correos Gmail entrantes/salientes,Parcial,Cumple,,Infra: configuracion servidor correo Odoo (no codigo),Configurar Gmail,Infra
5,27/04/2026-08/05/2026,US-S5-01,Tipos de pago y validacion transferencia,Historia,Si,Tipo pago + tesoreria valida transferencia,Cumple,Cumple,intn_account_payment_group; intn_account_pagopar,transfer_receipt_state approve/reject,RF 4.4,Listo para pruebas
5,27/04/2026-08/05/2026,US-S5-02,Cierre de caja por cajero,Historia,Si,Cierre individual de caja,Cumple,Cumple,intn_account_cashier; intn_account_pagopar,,RF 4.3,Listo para pruebas
5,27/04/2026-08/05/2026,US-S5-02,Cierre de caja por cajero,Subtarea funcional,Si,Integracion caja AquiPago bandera configurable,Cumple,Cumple,intn_account_pagopar (is_pagopar_box),,,
5,27/04/2026-08/05/2026,US-S5-03,Campos variables por tipo de servicio,Historia,Si,Campos formulario segun servicio (interno),Cumple,Cumple,intn_service_request (portal.form.layout),portal.form.layout en portal; backend por vistas modulo,RF 3.5,Listo para pruebas
5,27/04/2026-08/05/2026,US-S5-04,Bloqueo por facturas vencidas,Historia,Si,Bloquear solicitudes N facturas vencidas,Cumple,Cumple,intn_service_request,Config intn_service_request_max_overdue_invoices,RF 2.11,Listo para pruebas
5,27/04/2026-08/05/2026,US-S5-05,Permisos Fabricacion por departamento,Historia,Si,Acceso menus Fabricacion por organismo,Cumple,Cumple,intn_mrp_organism_access,Record rules por intn_organism_id. DESINCRONIZADO: ClickUp 86e0yxqvk sigue en Pausado,RF 5.19,Listo para pruebas
5,27/04/2026-08/05/2026,US-S5-06,Modulo documentos historicos,Historia,Si,Historico documentos backend y portal,Cumple,Cumple,intn_documents; intn_certificate_management,,RF 5.21,Listo para pruebas
5,27/04/2026-08/05/2026,US-S5-06,Modulo documentos historicos,Subtarea funcional,Si,Repositorio unico documentos (config base),Cumple,Cumple,intn_documents,DMS storage templates,,
5,27/04/2026-08/05/2026,US-S5-06,Modulo documentos historicos,Subtarea funcional,Si,Persistencia byte-estable PDF al confirmar,Cumple,Cumple,intn_documents,emitted_pdf_attachment_id,,
5,27/04/2026-08/05/2026,US-S5-06,Modulo documentos historicos,Subtarea funcional,Si,Vista backend Documentos en el origen,Cumple,Cumple,intn_documents,Tab certificado + menu INTN Documents,,
5,27/04/2026-08/05/2026,US-S5-06,Modulo documentos historicos,Subtarea funcional,Si,Pagina unificada /my/documents portal,Cumple,Cumple,intn_documents/controllers/portal_documents.py,,,
5,27/04/2026-08/05/2026,US-S5-06,Modulo documentos historicos,Subtarea funcional,Si,Reimpresion auditada certificados,Cumple,Cumple,intn_documents,certificate_reprint_wizard print log,Reimpresion auditada,Listo para pruebas
5,27/04/2026-08/05/2026,US-S5-06,Modulo documentos historicos,Subtarea funcional,Si,Auditoria descargas desde portal,Cumple,Cumple,intn_documents,intn.document.print.log,Auditoria descargas portal,Listo para pruebas
5,27/04/2026-08/05/2026,US-S5-06,Modulo documentos historicos,Subtarea funcional,Si,Subida estructurada respaldos por cliente,Cumple,Cumple,intn_service_request; intn_portal_fleet_requests; intn_documents,Specs adjuntos portal flota + DMS templates,Subida estructurada respaldos,Listo para pruebas
5,27/04/2026-08/05/2026,US-S5-06,Modulo documentos historicos,Subtarea funcional,Si,Visibilidad por departamento,Cumple,Cumple,intn_documents,ir.rule backend + filtro portal por department,Visibilidad departamento,Listo para pruebas
5,27/04/2026-08/05/2026,US-S5-07,Reportes OIAT,Historia,Si,Tablas reportes OIAT fechas expediente cliente ensayos actas,Cumple,Cumple,intn_mrp_oiat,Modelos PDFs y listas operativas,RF 5.6,Listo para pruebas
5,27/04/2026-08/05/2026,US-S5-08,Reportes METCI,Historia,Si,Tablas reportes METCI operativos,Cumple,Cumple,intn_mrp_metci,Wizard tablas operativas + PDF por fechas,RF 5.15,Listo para pruebas
5,27/04/2026-08/05/2026,US-S5-08,Reportes METCI,Subtarea funcional,Si,Tablas METCI fechas solicitud revision confirmacion facturacion etc,Cumple,Cumple,intn_mrp_metci,metci_operational_table_wizard + report,RF 5.17,Listo para pruebas
5,27/04/2026-08/05/2026,US-S5-09,Certificados METCI con QR,Historia,Si,Certificados calibracion informes tecnicos PDF QR,Cumple,Cumple,intn_mrp_metci; intn_certificate_management,certificate_type METCI + metci_certificate_report QR. DESINCRONIZADO: ClickUp 86e0yxqw7 sigue en Pendiente,RF 5.14,Listo para pruebas
5,27/04/2026-08/05/2026,US-S5-09,Certificados METCI con QR,Subtarea funcional,Si,Certificado Registro de Medicion (METCI),Cumple,Cumple,intn_mrp_metci,certificate_type_metci_calibration + report con QR,,
5,27/04/2026-08/05/2026,US-S5-10,Migracion inspeccion tanque cisterna,Historia,Si,Procesos inspeccion tanque migrados Odoo 18,Cumple,Cumple,intn_fleet_cistern_verification,v18.0.1.3.2 tests reportes. DESINCRONIZADO: ClickUp 86e1fvep0 sigue en Pendiente,Migrar inspeccion tanque,Listo para pruebas
